2.59	3.44
6.04	3.51
16.95	4.40
30.83	3.32
34.42	3.12
41.44	4.40
45.07	3.00
55.61	2.93
59.36	2.04
73.13	3.06
94.63	2.68
98.50	2.49
123.56	3.06
135.00	2.93
146.10	2.23
152.36	4.78
162.86	2.93
180.86	3.70
190.93	2.30
191.61	2.36
198.96	2.93
206.03	4.91
223.98	3.57
231.13	2.93
252.23	3.19
259.54	4.34
266.97	4.08
281.25	4.40
313.17	4.21
316.93	2.30
322.95	2.74
352.57	4.40
3.13	3.12
14.04	3.38
26.73	3.63
34.27	2.74
39.48	2.55
50.54	3.89
61.33	4.97
64.75	3.19
68.33	4.34
85.87	3.25
92.90	4.91
96.53	3.38
103.46	4.78
107.04	4.59
117.63	3.12
121.24	4.78
128.32	3.25
131.82	3.82
135.36	2.04
146.10	3.57
146.25	3.00
153.13	2.04
160.18	3.51
174.50	2.49
192.51	2.17
207.00	3.95
217.78	3.63
221.45	2.17
225.29	2.49
246.48	3.63
254.96	2.04
267.76	3.00
271.55	4.34
278.42	3.82
296.03	2.61
299.62	2.55
306.76	3.44
310.22	3.95
317.84	3.44
331.85	2.04
331.88	3.00
339.14	3.19
353.74	2.23
354.38	2.74
