12.92	4.34
31.42	4.78
35.14	3.63
43.50	3.95
49.99	3.95
50.63	4.02
57.17	3.95
72.22	2.74
86.84	2.68
94.46	2.61
97.71	2.74
108.86	5.04
112.61	3.12
123.63	4.84
123.75	4.46
145.61	3.57
148.43	2.42
153.15	3.51
168.18	4.02
168.80	5.04
182.81	3.12
187.03	3.82
191.36	4.53
212.57	4.46
219.99	4.27
227.65	2.17
231.06	2.61
238.61	3.95
246.05	3.82
253.25	2.55
264.33	4.97
264.38	5.10
275.60	3.19
286.67	3.57
286.88	2.36
297.68	4.08
301.31	3.38
305.41	2.74
334.56	3.19
341.89	4.97
345.64	2.30
349.16	3.25
356.61	3.95
0.49	4.21
11.30	2.42
22.50	2.23
33.49	5.04
55.47	3.32
62.76	3.00
73.93	3.32
88.89	3.44
111.27	4.72
115.02	2.93
122.79	4.02
126.29	3.19
137.21	2.10
144.73	3.19
159.30	4.84
163.13	4.21
170.23	3.19
177.69	3.44
207.23	2.10
222.24	2.68
229.30	2.61
232.93	3.44
240.28	4.08
242.65	3.32
258.72	4.84
269.81	2.30
277.08	3.32
284.47	4.08
292.13	3.57
303.75	2.42
311.14	3.25
321.47	4.02
340.18	3.32
347.48	3.70
351.32	3.44
